ngo:62NG-RN57-CLEB-AMSM	crm:P2_has_type	dig:D9_Data_Object	
ngo:62NG-RN57-CLEB-AMSM	crm:P48_has_preferred_identifier	N256cc5005ca64c55ad70b0f7a84ba046	|dims_bn
wd:Q873806	rdfs:label	thumbnail	
ngo:62NG-RN57-CLEB-AMSM	crm:P2_has_type	wd:Q873806	
//subgraph Thumbnail URI			
N256cc5005ca64c55ad70b0f7a84ba046	rdf:type	crm:E42_Identifier	|type
aat:300404629	rdfs:label	uniform resource identifiers	
N256cc5005ca64c55ad70b0f7a84ba046	crm:P2_has_type	crm:E42_Identifier	|type
N256cc5005ca64c55ad70b0f7a84ba046	rdf:value	https://research.ng-london.org.uk/iiif/pics/tmp/raphael_pyr/N-0027/16.1_X-Ray_Images/N-0027-00-000060-PYR.tif/full/,256/0/default.jpg	|url
//end			
//end			
N256cc5005ca64c55ad70b0f7a84ba046	crm:P2_has_type	aat:300404629	
ngo:62NG-RN57-CLEB-AMSM	crm:P62_depicts	ngo:0D0E-0001-0000-0000	
ngo:62NG-RN57-CLEB-AMSM	crm:P65_shows_visual_item	ngo:IKPB-MY0O-IQRM-Q1YS	
Nb23f47ae7f2543c99655735df33b2b6f	rdf:type	dig:D3_Formal_Derivation	event_bn|type
Nb23f47ae7f2543c99655735df33b2b6f	dig:L22_created_derivative	ngo:3UFH-4E94-4ZCU-VSYE	|object
Nb23f47ae7f2543c99655735df33b2b6f	crm:P2_has_type	dig:D3_Formal_Derivation	
Nb23f47ae7f2543c99655735df33b2b6f	dig:L21_used_as_derivation_source	ngo:5TGX-GBZ4-XV2A-XQGC	
//subgraph Visual Item representing an Image			
ngo:IKPB-MY0O-IQRM-Q1YS	crm:P138_represents	ngo:0D0E-0001-0000-0000	
ngo:IKPB-MY0O-IQRM-Q1YS	crm:P1i_is_identified_by	X-ray image of a detail from NG27	
ngo:IKPB-MY0O-IQRM-Q1YS	rdf:type	crm:E36_Visual_Item	|type
ngo:IKPB-MY0O-IQRM-Q1YS	crm:P2_has_type	crm:E36_Visual_Item	
//end			
//subgraph IIIF Server			
ngo:XE06-LC28-SMX0-OTVO	rdf:type	dig:D14_Software	object|
ngo:XE06-LC28-SMX0-OTVO	crm:P2_has_type	aat:300266043	
ngo:XE06-LC28-SMX0-OTVO	crm:P2_has_type	dig:D14_Software	|type
ngo:XE06-LC28-SMX0-OTVO	crm:P48_has_preferred_identifier	N6d994ff4ca1146d28ccd4f895688b4fa	
aat:300266043	rdfs:label	servers (computer)	
N6d994ff4ca1146d28ccd4f895688b4fa	crm:P2_has_type	crm:E42_Identifier	|type
N6d994ff4ca1146d28ccd4f895688b4fa	rdf:value	https://research.ng-london.org.uk/iiif	|url
N6d994ff4ca1146d28ccd4f895688b4fa	rdf:type	crm:E42_Identifier	|type
//end			
